key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,,,,,,,,,,,,,,,,,,,,,,,,
offset,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,0,4,8,12,16,20,24,28
Int32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65572.0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
65576.0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
65576.1,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
65576.2,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
65587.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,5280,0,0,0,0,0,0,0
65587.1,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,5280,0,0,0,0,0,0,0
65597.0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,0
65597.1,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,0
65599.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,3616,0,0,0,0,0,0,0
65600.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,3639,0,0,0,0,0,0,0
65600.1,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,3639,0,0,0,0,0,0,0
65601.0,0,0,0,255,255,255,255,255,1,1,1,0,0,0,0,0,3651,2270,4360,0,0,0,0,0
65601.1,1,2,3,255,255,255,255,255,1,1,1,0,0,0,0,0,3651,2270,4360,0,0,0,0,0
65602.0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,3206,0,0,0,0,0,0,0
65642.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,4304,0,0,0,0,0,0,0
65671.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,5276,0,0,0,0,0,0,0
65672.0,0,0,255,255,255,255,255,255,1,1,0,0,0,0,0,0,3772,4308,0,0,0,0,0,0
65672.1,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
65673.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,3784,0,0,0,0,0,0,0
65675.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
65676.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,5364,0,0,0,0,0,0,0
65677.0,1,2,255,255,255,255,255,255,1,1,0,0,0,0,0,0,1823,1895,0,0,0,0,0,0
65678.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,1827,0,0,0,0,0,0,0
65698.0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
65703.0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
65703.1,1,1,1,1,1,255,255,255,2,2,2,2,2,0,0,0,41,41,41,41,41,0,0,0
65704.0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,5371,0,0,0,0,0,0,0
65705.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0
65705.1,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0
65705.2,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0
65741.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,5361,0,0,0,0,0,0,0
65745.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,5275,0,0,0,0,0,0,0
65762.0,0,0,0,0,255,255,255,255,2,2,2,2,0,0,0,0,12,12,12,12,0,0,0,0
65790.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,4849,0,0,0,0,0,0,0
65791.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,4660,0,0,0,0,0,0,0
65792.0,0,0,0,0,255,255,255,255,2,2,2,2,0,0,0,0,23,23,23,23,0,0,0,0
65792.1,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
65793.0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,4640,0,0,0,0,0,0,0
65794.0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0,4642,0,0,0,0,0,0,0
