key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,OpenContentData[0].Content,OpenContentData[1].Content,OpenContentData[2].Content,OpenContentData[3].Content,OpenContentData[4].Content,OpenContentData[5].Content,OpenContentData[6].Content,OpenContentData[7].Content,OpenContentData[8].Content,OpenContentData[9].Content,OpenContentData[10].Content,OpenContentData[11].Content,OpenContentData[12].Content,OpenContentData[13].Content,OpenContentData[14].Content,OpenContentData[15].Content,OpenContentData[0].CandidateName,OpenContentData[1].CandidateName,OpenContentData[2].CandidateName,OpenContentData[3].CandidateName,OpenContentData[4].CandidateName,OpenContentData[5].CandidateName,OpenContentData[6].CandidateName,OpenContentData[7].CandidateName,OpenContentData[8].CandidateName,OpenContentData[9].CandidateName,OpenContentData[10].CandidateName,OpenContentData[11].CandidateName,OpenContentData[12].CandidateName,OpenContentData[13].CandidateName,OpenContentData[14].CandidateName,OpenContentData[15].CandidateName
offset,4,12,20,28,36,44,52,60,68,76,84,92,100,108,116,124,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120
Int32,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,654,716,750,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0
3,658,667,693,739,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,25,0,0,0,0,0,0,0,0,0,0,0,0
4,264,244,278,538,291,597,638,280,539,694,0,0,0,0,0,0,9,10,11,12,13,14,15,16,17,18,0,0,0,0,0,0
5,718,763,782,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0
6,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,256,292,591,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,803,791,846,871,924,950,965,788,908,0,0,0,0,0,0,0,29,30,32,37,38,43,44,33,39,0,0,0,0,0,0,0
9,809,873,937,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10,878,879,946,947,979,980,0,0,0,0,0,0,0,0,0,0,35,36,41,42,45,46,0,0,0,0,0,0,0,0,0,0
11,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,833,996,1017,0,1006,1010,0,0,0,0,0,0,0,0,0,0,48,49,50,0,52,51,0,0,0,0,0,0,0,0,0,0
