key,0,1,2,3,4
#,,,,,
offset,12,13,8,0,4
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"방비 효과 향상","<hex:024804F201F403><hex:024904F201F503>방비<hex:0249020103><hex:0248020103>의 받는 피해량 감소 효과량이 90%로 증가합니다."
2,1,5,82202,"기도 효과 향상","<hex:024804F201F403><hex:024904F201F503>기도<hex:0249020103><hex:0248020103>의 회복력이 5000으로 증가합니다."
3,2,3,82203,"날뛰기 효과 향상","15초 동안 자신에게 <hex:024804F201F403><hex:024904F201F503>육참골단<hex:0249020103><hex:0248020103>이 부여됩니다.<hex:02100103><hex:024804F201F403><hex:024904F201F503>육참골단<hex:0249020103><hex:0248020103> 효과 중에 받은 피해량에 비례해 <hex:024804F201F403><hex:024904F201F503>일격<hex:0249020103><hex:0248020103>의 위력이 증가합니다."
4,3,4,82204,"날아차기 효과 향상","<hex:024804F201F403><hex:024904F201F503>날아차기<hex:0249020103><hex:0248020103>의 주는 피해량 증가 효과량이 7%로 증가합니다."
5,3,6,82205,"날아차기 효과 향상 2","<hex:024804F201F403><hex:024904F201F503>날아차기<hex:0249020103><hex:0248020103>의 주는 피해량 증가 효과량이 9%로 증가합니다."
6,4,3,82206,"노리기 효과 향상","<hex:024804F201F403><hex:024904F201F503>노리기<hex:0249020103><hex:0248020103>의 극대화 발동률과 직격 발동률이 30%로 증가하고, 공격이 반드시 명중합니다."
7,4,5,82207,"노리기 효과 향상 2","<hex:024804F201F403><hex:024904F201F503>노리기<hex:0249020103><hex:0248020103>의 극대화 발동률과 직격 발동률이 50%로 증가하고, 공격이 반드시 명중합니다."
8,5,5,82208,"거합도 효과 향상","<hex:024804F201F403><hex:024904F201F503>거합도<hex:0249020103><hex:0248020103> 위력이 500으로, 즉사 확률이 10%로 증가합니다."
9,6,2,82209,"노래 효과 향상","서포트 음유시인 레벨에 따라 노래 효과가 향상됩니다."
10,12,6,82212,"자물쇠 풀기","던전 안에 있는 잠긴 문을 열 수 있게 됩니다."
11,9,5,82211,"대포 공격 효과 향상","대포 공격 실행 시 5% 확률로 일부 대상을 즉사시킵니다."
12,7,5,82210,"종 효과 향상","<hex:024804F201F403><hex:024904F201F503>전투의 종<hex:0249020103><hex:0248020103>의 1중첩당 주는 피해량이 5%로 증가하고,<hex:02100103><hex:024804F201F403><hex:024904F201F503>휴식의 종<hex:0249020103><hex:0248020103>의 회복력이 3000으로 향상됩니다."
13,0,0,-1,"",""
14,0,0,-1,"",""
15,0,0,-1,"",""
