key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
offset,11,23,35,47,59,8,20,32,44,56,0,12,24,36,48,9,21,33,45,57,10,22,34,46,58,4,16,28,40,52,60,64,68,72,76,80,84,88
int32,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,str,str,str,str,str,str,str,str
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"안녕. 길드 의뢰를 받으려고?","새내기 모험가군요. 실력을 더 기르고 와야겠는데요.","수고하십니다! 꼭 성공하고 돌아오세요.","예비","보상이야!","아직 소속된 총사령부가 없군.","총사령부 등급이 아직 기준에 미치지 못했어.","현상수배범 토벌에 성공했다."
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"여기는 길드 의뢰 발행 창구입니다.<hex:02100103>당신에게 딱 맞는 일을 소개해드릴게요.","여기선 모험가 길드에 소속된 사람들에게<hex:02100103>'길드 의뢰'를 발행하고 있어.<hex:02100103><hex:02170103>당신이 <hex:02092AE802FF0D>차모크리<hex:FF0A>공트랑<hex:FF0D>유스태스<hex:03> 님께<hex:02100103>의뢰를 받을 수 있게 되면<hex:02100103>일자리를 알선해줄게.","그럼 이 일은 당신에게 맡기겠습니다.","여기선 모험가 길드에 소속된 사람들에게<hex:02100103>'길드 의뢰'를 발행하고 있어.<hex:02100103><hex:02170103>당신이 <hex:02092AE802FF0D>차모크리<hex:FF0A>공트랑<hex:FF0D>유스태스<hex:03> 님께<hex:02100103>의뢰를 받을 수 있게 되면<hex:02100103>일자리를 알선해줄게.","임무를 무사히 마치고 오셨군요.<hex:02100103>당신에게 맡기길 잘했네요.<hex:02100103>자, 여기 보상입니다. 사양 말고 받으세요.","0","0","예? 현상수배범을 잡아오셨다고요?<hex:02100103>이런 놀라운 일이……<hex:02100103>그럼요, 당연히 추가 보상을 드려야죠."
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"근처 주민 여러분이 주신 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.","일감이 필요하십니까?<hex:02100103>저희는 실력 있는 모험가님들께<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>하지만 길드 운영을 맡고 계신<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님의 소개가 필요하죠.<hex:02100103>일감은 그때부터 드리도록 하겠습니다.","임무 성공을 빌겠습니다.","일감이 필요하십니까?<hex:02100103>저희는 실력 있는 모험가님들께<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>당신이 이 주변 마물에게<hex:02100103>지지 않을 정도로 실력을 기른 뒤<hex:02100103>다시 찾아오시면 일감을 드리겠습니다.","아, 달성 보고를 하러 오셨나요?<hex:02100103>수고하셨습니다, 여기 약속한 보상입니다…….<hex:02100103>이 정도면 의뢰주도 만족하시겠죠.","0","0","어머, 현상수배범을 토벌하셨다고요?<hex:02100103>그렇다면 보상을 더 얹어 드려야겠군요."
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"안녕. 혹시 길드 의뢰에 관심 있어?<hex:02100103>좋은 일자리가 있는데 어때?","난 모험가 길드 소속이야.<hex:02100103>실력 좋은 모험가 대상으로<hex:02100103>'길드 의뢰'를 발행하고 있지.<hex:02100103>네가 길드 운영을 맡고 있는 <hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 씨가<hex:02100103>인정할 정도로 실력 있는 모험가가 되면<hex:02100103>좋은 일거리를 소개해줄게!","그럼 잘 부탁해. 돌아오길 기다리고 있을게.","난 모험가 길드 소속이야.<hex:02100103>실력 좋은 모험가들에게<hex:02100103>'길드 의뢰'를 발행하고 있지.<hex:02100103>네가 이 주변 마물을 퇴치할 수 있을 정도로 강해지면<hex:02100103>좋은 일거리를 소개해줄게!","와, 벌써 마치고 돌아온 거야?<hex:02100103>깔끔하게 처리해줘서 정말 고마워.<hex:02100103>나중에 시간이 나면 또 찾아와 줘.","0","0","응? 현상수배범을 토벌했어?<hex:02100103>대단하구나, 큰 공을 세웠는걸.<hex:02100103>당연히 추가 보상을 줘야지."
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"검은장막 숲 각지에서 들어온 다양한 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.","여기는 모험가에게 일을 알선해 드리는<hex:02100103>'길드 의뢰' 발행 카운터입니다.<hex:02100103><hex:02170103>새내기 모험가이신 것 같군요.<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님 소개를 받은 뒤 다시 오시면<hex:02100103>기꺼이 임무를 드리겠습니다.","0","여기는 모험가에게 일을 알선해 드리는<hex:02100103>'길드 의뢰' 발행 카운터입니다.<hex:02100103><hex:02170103>새내기 모험가이신 것 같군요.<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님 소개를 받은 뒤 다시 오시면<hex:02100103>기꺼이 임무를 드리겠습니다.","길드 의뢰 보상을 받으러 오셨군요.<hex:02100103>이 임무를 해결하시다니…… 대단하십니다.<hex:02100103>받으세요, 약속했던 보상입니다.","0","0","아니, 정말 대단하시군요.<hex:02100103>현상수배범까지 토벌하고 오시다니……<hex:02100103>보상을 넉넉히 드려야겠어요."
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"림사 로민사 시민이나<hex:02100103>이 근처 주민들이 맡긴 일감을<hex:02100103>길드 의뢰로 발행하고 있어.","일을 찾고 있다면 마침 잘 왔어.<hex:02100103>여긴 실력 좋은 모험가에게<hex:02100103>'길드 의뢰'를 발행하는 곳이거든.<hex:02100103>단, 모험가 길드를 운영하고 있는<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님 소개가 필요해.<hex:02100103>소개만 받아오면 언제든 일을 줄게!","그럼 조심해서 다녀와!","일을 찾고 있다면 마침 잘 왔어.<hex:02100103>여긴 실력 좋은 모험가에게<hex:02100103>'길드 의뢰'를 발행하는 곳이거든.<hex:02100103>단, 이 주변 마물을 가볍게<hex:02100103>처치할 수 있을 정도는 되어야 하지.<hex:02100103>그럴 수 있게 되면 언제든 일을 줄게!","아, 달성 보고 때문에 왔구나?<hex:02100103>수고 많았어, 여기 약속했던 보상.<hex:02100103>네 덕에 의뢰주도 만족할 거야.","0","0","달성 보고 때문에 왔구나……<hex:02100103>어? 수배 중인 현상범까지 토벌했다고?<hex:02100103>와, 정말 대단한걸. 보상을 톡톡히 줘야겠어."
