key,0,1,2,3,4,5
#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
offset,0,4,5,6,7,8
int32,str,byte,byte,byte,FCActivityCategory,sbyte
0,"",0,0,0,0,-1
1,"자유부대를 결성했습니다.",0,0,0,1,0
2,"부대 랭크가 <hex:022003E80203>랭크로 올랐습니다.",0,0,1,1,0
3,"<hex:022812FF0D>GrandCompany<hex:E8020103><hex:020D22FF16022812FF0D4772616E64436F6D70616E79E8020103FF04EC9980FF04EAB3BC03>의 우호 관계가 <hex:022812FF0D>FCReputation<hex:E8030503> 단계로 올랐습니다.",1,0,1,1,5
4,"<hex:022812FF0D>GrandCompany<hex:E8020103><hex:020D22FF16022812FF0D4772616E64436F6D70616E79E8020103FF04EC9980FF04EAB3BC03>의 우호 관계가 <hex:022812FF0D>FCReputation<hex:E8030503> 단계로 올랐습니다.",1,0,1,1,6
5,"<hex:022812FF0D>GrandCompany<hex:E8020103><hex:020D22FF16022812FF0D4772616E64436F6D70616E79E8020103FF04EC9980FF04EAB3BC03>의 우호 관계가 <hex:022812FF0D>FCReputation<hex:E8030503> 단계로 올랐습니다.",1,0,1,1,7
6,"<hex:02280EFF09>FCRights<hex:E8020103> 권한을 획득했습니다.",0,0,1,1,0
7,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 가입했습니다.",4,0,0,2,1
8,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 가입했습니다.",4,0,0,2,1
9,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 탈퇴했습니다.",4,0,0,2,2
10,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 탈퇴했습니다.",4,0,0,2,2
11,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403><hex:020E29FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EBA19CFF07EC9CBCEBA19C03> 임명되었습니다.",4,5,0,2,3
12,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403><hex:020E29FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EBA19CFF07EC9CBCEBA19C03> 임명되었습니다.",4,5,0,2,3
13,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403><hex:020E29FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EBA19CFF07EC9CBCEBA19C03> 임명되었습니다.",4,5,0,2,3
14,"<hex:022812FF0D>GrandCompany<hex:E8020103><hex:020E25FF16022812FF0D4772616E64436F6D70616E79E8020103FF04EBA19CFF07EC9CBCEBA19C03> 이적했습니다.",0,1,0,1,5
15,"<hex:022812FF0D>GrandCompany<hex:E8020103><hex:020E25FF16022812FF0D4772616E64436F6D70616E79E8020103FF04EBA19CFF07EC9CBCEBA19C03> 이적했습니다.",0,1,0,1,6
16,"<hex:022812FF0D>GrandCompany<hex:E8020103><hex:020E25FF16022812FF0D4772616E64436F6D70616E79E8020103FF04EBA19CFF07EC9CBCEBA19C03> 이적했습니다.",0,1,0,1,7
17,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 계급 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>의 설정을 변경했습니다.",4,5,0,3,3
18,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 계급 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403><hex:020D26FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EBA5BCFF04EC9D8403> 추가했습니다.",4,5,0,3,3
19,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 계급 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403><hex:020D26FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EBA5BCFF04EC9D8403> 삭제했습니다.",4,5,0,3,3
20,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 계급 서열을 변경했습니다.",4,0,0,3,3
21,"",4,6,1,0,-1
22,"",4,0,0,0,-1
23,"",4,0,0,0,-1
24,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 부대 게시판을 수정했습니다.",4,0,0,3,4
25,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 부대 정보를 수정했습니다.",4,0,0,3,4
26,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 부대 문장 디자인을 변경했습니다.",4,0,0,3,8
27,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 <hex:022813FF0E>CompanyAction<hex:E8020103><hex:020D23FF17022813FF0E436F6D70616E79416374696F6EE8020103FF04EBA5BCFF04EC9D8403> 획득했습니다.",4,0,1,4,9
28,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 <hex:022813FF0E>CompanyAction<hex:E8020103><hex:020D23FF17022813FF0E436F6D70616E79416374696F6EE8020103FF04EBA5BCFF04EC9D8403> 사용했습니다.",4,0,1,4,9
29,"이 활동은 삭제되었습니다.",0,0,0,0,4
30,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 계급명을 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403><hex:020E29FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EBA19CFF07EC9CBCEBA19C03> 변경했습니다.",4,5,0,3,3
31,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 <hex:022813FF0E>CompanyAction<hex:E8020103><hex:020D23FF17022813FF0E436F6D70616E79416374696F6EE8020103FF04EBA5BCFF04EC9D8403> 취소했습니다.",4,0,1,4,9
