key,0,1,2,3
#,,,,
offset,0,4,8,12
int32,str,int32,int32,byte
0,"",0,0,0
1,"PvP팀 [<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>]<hex:020D26FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EAB080FF04EC9DB403> 등록되었습니다.",0,1,0
2,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 가입했습니다.",2,0,0
3,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 탈퇴했습니다.",2,0,0
4,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 탈퇴했습니다.",2,0,0
5,"",2,0,0
6,"",2,0,0
7,"팀 이름이 [<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>]<hex:020E29FF1A020816E909FF1002280CFF074F626A537472E9090103EB0403FF04EBA19CFF07EC9CBCEBA19C03> 변경되었습니다.",0,1,0
8,"팀 문장이 변경되었습니다.",0,0,0
9,"팀이 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403> 등급으로 승급되었습니다.",0,3,0
10,"팀이 <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403> 등급으로 강등되었습니다.",0,3,0
11,"새로운 시즌이 시작되었습니다.",0,0,0
12,"일정 기간 동안 팀장이 접속하지 않아 팀장 권한이 <hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님에게 위임되었습니다.",2,0,0
13,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님이 부팀장으로 임명되었습니다.",2,0,0
14,"팀장 권한이 <hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303> 님에게 위임되었습니다.",2,0,0
