key,0,1,2,3,4,5
#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
offset,0,4,5,6,7,8
int32,str,byte,byte,byte,FCActivityCategory,sbyte
0,"",0,0,0,0,-1
1,"Free company established!",0,0,0,1,0
2,"Company rank <hex:022003E80203> attained!",0,0,1,1,0
3,"Standing with the <hex:022812FF0D>GrandCompany<hex:E8020103> now <hex:024804F201FA03><hex:024904F201FB03><hex:022812FF0D>FCReputation<hex:E8030503><hex:0249020103><hex:0248020103>!",1,0,1,1,5
4,"Standing with the <hex:022812FF0D>GrandCompany<hex:E8020103> now <hex:024804F201FA03><hex:024904F201FB03><hex:022812FF0D>FCReputation<hex:E8030503><hex:0249020103><hex:0248020103>!",1,0,1,1,6
5,"Standing with the <hex:022812FF0D>GrandCompany<hex:E8020103> now <hex:024804F201FA03><hex:024904F201FB03><hex:022812FF0D>FCReputation<hex:E8030503><hex:0249020103><hex:0248020103>!",1,0,1,1,7
6,"“<hex:02280EFF09>FCRights<hex:E8020103>” entitlement awarded!",0,0,1,1,0
7,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> joined the company.",4,0,0,2,1
8,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> joined the company.",4,0,0,2,1
9,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> left the company.",4,0,0,2,2
10,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> dismissed from the company.",4,0,0,2,2
11,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> made <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.",4,5,0,2,3
12,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> elected <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.",4,5,0,2,3
13,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> <hex:020811E4EB02EB03FF05>were<hex:FF04>was<hex:03> made <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.",4,5,0,2,3
14,"Company allegiance pledged to the <hex:022812FF0D>GrandCompany<hex:E8020103>.",0,1,0,1,5
15,"Company allegiance pledged to the <hex:022812FF0D>GrandCompany<hex:E8020103>.",0,1,0,1,6
16,"Company allegiance pledged to the <hex:022812FF0D>GrandCompany<hex:E8020103>.",0,1,0,1,7
17,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed the settings for the member rank “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”",4,5,0,3,3
18,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> added the member rank “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”",4,5,0,3,3
19,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> deleted the member rank “<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>.”",4,5,0,3,3
20,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed member rank hierarchy.",4,0,0,3,3
21,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed company chest settings for <hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403> <hex:022003E80203>.",4,6,1,0,-1
22,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed company chest settings for gil.",4,0,0,0,-1
23,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed company chest settings for crystals.",4,0,0,0,-1
24,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> updated the company board.",4,0,0,3,4
25,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> updated the company profile.",4,0,0,3,4
26,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> changed the company crest.",4,0,0,3,8
27,"<hex:022B2EFF2C><hex:020828E4EB02EB03FF04>you<hex:FF1C><hex:020818E908FF12><hex:02310EFF07>ObjStr<hex:03E908020203><hex:EB0303><hex:03><hex:03> purchased the company action “<hex:022813FF0E>CompanyAction<hex:E8020103>.”",4,0,1,4,9
