key,0
#,Objective
offset,0
int32,str
0,""
1,"Defeat target enemies."
2,"Obtain target items."
3,"Eliminate target enemies."
4,"Pursue and defeat target enemies."
5,"Weaken target and then pacify it using <hex:02082EE4E80201FF12>the /soothe emote<hex:FF15><hex:023111FF0A>EventItem<hex:03E802020203><hex:03>."
6,"<hex:02084FE4E80201FF1C>Attack target to reveal its<hex:FF2C>Use <hex:023111FF0A>EventItem<hex:02E802020203> to reveal target's<hex:03> true form, then defeat it."
7,"Defeat all targets in the locations specified."
8,"Gather all missing pages of the <hex:021A020203>Necrologos<hex:021A020103> and defeat the creature summoned from within."
9,"Use the /beckon emote to lead <hex:023110FF09>BNpcName<hex:03E802020203> safely to the specified location."
10,"Gather items at all the specified locations.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Evaluation Bonus:<hex:0249020103><hex:0248020103><hex:02100103>320～ +25%<hex:02100103>303～ +10%<hex:02100103>286～  +5%"
11,"Obtain target items."
12,"Travel to all the specified locations and obtain the target items."
13,"Survey target areas.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Evaluation Bonus:<hex:0249020103><hex:0248020103><hex:02100103>160～ +25%<hex:02100103>152～ +10%<hex:02100103>143～  +5%"
14,"Deliver the items to the specified locations."
15,"Levequest deemed a failure if too few items are obtained."
16,"Survey target areas."
17,"Lure target from hiding and slay it."
18,"Gather items at all the specified locations.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Evaluation Bonus:<hex:0249020103><hex:0248020103><hex:02100103>479～ +25%<hex:02100103>454～ +10%<hex:02100103>429～  +5%"
19,"Survey target areas.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Evaluation Bonus:<hex:0249020103><hex:0248020103><hex:02100103>240～ +25%<hex:02100103>227～ +10%<hex:02100103>215～  +5%"
20,"Gather all missing pages of the <hex:021A020203>Necrologos<hex:021A020103> and defeat the creature summoned from within."
21,"Progress"
22,"Locations visited"
23,"Targets will grow frenzied if pacification is attempted too early.<hex:02100103>Levequest deemed a failure if targets accidentally killed."
24,"Defeat <hex:023110FF09>BNpcName<hex:02E802030203> to obtain glamour-dispelling <hex:023111FF0A>EventItem<hex:02E803030203>."
25,"Levequest deemed a failure if <hex:023110FF09>BNpcName<hex:03E802020203> is slain."
26,"Defeat the enemies while protecting your charge."
27,"Defeat as many enemies as possible within the allotted time."
28,"Discover who is carrying <hex:023111FF0A>EventItem<hex:03E802030203> and slay the target."
29,""
30,"Defeat any enemies summoning reinforcements."
31,"Objective failed if insufficient number of enemies slain."
32,"Slay enemies that respond to the <hex:020814E4E80202FF06>/poke<hex:FF07>/doubt<hex:03> emote and collect <hex:023111FF0A>EventItem<hex:02E803030203>."
33,"Objective failed if all <hex:023110FF09>BNpcName<hex:02E802030203> are lost."
34,"Use <hex:023111FF0A>EventItem<hex:04E803030203> obtained from <hex:023110FF09>BNpcName<hex:04E802030203> on <hex:02310CFF05>EObj<hex:04E804030203> to lure out <hex:023110FF09>BNpcName<hex:04E805030203>."
35,"Targets will grow frenzied if pacification is attempted too early."
