key,0,1,2
#,Description,Description{Enhanced},Tooltip
offset,0,4,8
int32,str,str,str
0,"","",""
1,"Summon your Grand Company-issued battle chocobo.","Born and bred in the city–state of Ishgard, the majority of company chocobos are geldings of the rouncey variety; however, massive destriers and miniature Belah'dian jennets are also raised to accommodate the builds of Roegadyn and Lalafellin riders respectively.","Chocobos are stout-<hex:02100103>hearted creatures, but<hex:02100103>they have their limits.<hex:02100103>  - Mimigun"
2,"","",""
3,"","",""
4,"Use the odd-shaped horn gifted to you by the wandering minstrel to call a massive goobbue to your side.","Traded for a song by the High Satrap of a distant land, the secret to taming these creatures once thought to be unbreakable was introduced to Eorzea by a mysterious wandering minstrel who journeyed through the realm in the final days before the Calamity.","Would that I had the<hex:02100103>girth of a goobbue!<hex:02100103>  - Nanamo Ul Namo"
5,"Five years and a realm-shaking Calamity were not enough to break the bonds between you and your loyal steed. A single whistle and he will be at your side once again.","In the five years following your sudden disappearance from the Carteneau Flats, your ever-faithful chocobo spent each waking moment galloping across the realm in search of his lost master. His myriad adventures are nothing less than fantastical and heartbreaking...but that is a story for another day.","Go find the chocobo you<hex:02100103>rode in on, and ride on out.<hex:02100103>  - Sevrin"
6,"Call into battle your suit of Garlond Ironworks-modified magitek armor.","This suit of Garlean-developed reaper-class magitek battle armor has had its original control systems purged and replaced with a new, modified core built by Cid of the Garlond Ironworks.","At last, our very own<hex:02100103>suit of magitek armor!<hex:02100103>  - Cid Garlond"
7,"","",""
8,"Summon your fleet-footed battle coeurl, trained from a pup to recognize you as a friend...not food.","Native to the jungles of the Near East, coeurls were only recently introduced to Eorzea, brought over from faraway lands such as Thavnair by Ul'dahn nobles who thought to breed them as pets. Now, but a handful of skilled tamers living in recluse on the Pearl are<hex:02100103>said to be able to train them.","Hey, good lookin'!<hex:02100103>Catch my coeurl yet?<hex:02100103>  - Swygrael"
9,"Summon forth a riding ahriman, bound to this realm with powerful magicks guaranteed to never fade.","Though little is known of the void and the creatures which call the extra-dimensional realm home, scholars have discovered that there is a strict hierarchy amongst voidsent consisting of twelve distinct tiers. Ahrimans are believed to fall into the fifth, making them formidable foes...when not enthralled by curses.","Ye'd 'ave t' be blinder'n an<hex:02100103>ahriman wi' an eyepatch t'<hex:02100103>miss the camp.<hex:02100103>  - Baderon Tenfingers"
10,"","",""
11,"","",""
12,"","",""
13,"","",""
14,"","",""
15,"Summon forth the single-horned steed you befriended in the Black Shroud.","Not long ago, Eorzean unicorns numbered in the thousands, and could oft be seen roaming the Coerthas highlands in great majestic herds that would render the mountains white as snow. Poaching has caused the population to decline, and if it were not for your act of kindness, there would be one fewer.","Your precious horses,<hex:02100103>they're just unicorns with<hex:02100103>a big empty forehead.<hex:02100103>  - Chief Chocowacker"
16,"","",""
17,"","",""
18,"Summon your mighty behemoth, trained from birth to carry you...not trample you underfoot like an ant.","Immediately following the Calamity, an adventurer returning to Gridania from Falcon's Nest in Coerthas claims to have happened upon a den of baby behemoths who had lost their mother. Despite objections from friends and family alike, she kept the beasts, eventually training them to serve as mounts.","Do not presume to<hex:02100103>provoke the behemoth to<hex:02100103>battle. You will die.<hex:02100103>  - Meurise"
19,"Summon your cavalry drake, trained by the drake whisperer of the Brotherhood of Ash.","Training a cavalry drake is a long and arduous process that begins the moment the scalekin hatches. Never allowed to see its mother, the creature is raised solely in the presence of a drake whisperer while being weaned on the incendiary glands of aged battle drakes to ensure it is both submissive and deadly.","You are as a lost kitten<hex:02100103>that has wandered into<hex:02100103>the drake's lair.<hex:02100103>  - Zagozz Teh"
20,"Summon your laurel goobbue, towering friend to the sylphs.","After having the moss and flowers growing upon his head pulled up and tossed aside like common weeds by a band of sylvan ne'er-do-wells, this quiet-mannered goobbue was taken in and cared for by the sylphs of Little Solace whose elders crafted for him a magnificent laurel with which to hide his scars.","Naught is as exhilarating<hex:02100103>as a romp through the<hex:02100103>forest on goobbueback.<hex:02100103>  - Unknown"
21,"Call into battle your gilded suit of magitek armor. Its golden coating serves to resist magicks while impressing members of the opposite sex.","It only took a few heated skirmishes with the allied city–states for Garlemald to realize that the magicks wielded by the realm's mages were too much for even the thickest of magitek armor plating. Alloyed gilding has since been discovered to dampen the effects of elemental charges and is now standard-issue.","You ditched your magitek<hex:02100103>armor!? Fool of a Lalafell!<hex:02100103>  - Biggs"
22,"Summon forth the single-horned steed with a temperament as black as his coat.","While it is no secret that it was the enigmatic Ascians who provided the beast tribes with nightmares, their reasons for doing so remain shrouded in mystery. Otherwise untamable, the single piercing tone of a magicked whistle is the only method known to soothe<hex:02100103>the savage beasts.","See the nightmare for<hex:02100103>reality, and ready thyself<hex:02100103>for the coming chaos!<hex:02100103>  - Urianger"
23,"","",""
24,"","",""
25,"Summon forth your fat chocobo mount. Take care that there is sufficient room for his ample girth.","Playfully described by some as “large and in charge,” in truth, when summoned, this gluttonous gourmand will flap nary a feather unless a garland of gysahl greens is dangled before him─in which case not even the laws of nature can slow the fat chocobo down.","Huff...huff...heave...heave...<hex:02100103>  - Fat Chocobo"
26,"Summon your cavalry elbst, raised from an egg by Pahh of Novv's Clutch.","To ensure his elbst do not find themselves at a disadvantage to swift-running chocobos, Pahh of Novv's Clutch clips the webbing on their feet at a young age, rendering them more capable of achieving high speeds on land─though they will ever be slower than their brethren while underwater.","My elbst is your elbst.<hex:02100103>  - Pahh"
27,"Summon forth a bevy of bombs who will bear you in comfort upon a hovering palanquin.","Upon learning that his creations were forever lacking the power to combust, 789th Order Acolyte Ba Go did what any master of explosives would─attach the bombs to the corners of an iron bench and create a floating coach.","Hack and slash and<hex:02100103>tossy-boom. Bang and<hex:02100103>boom and slashy-doom.♪<hex:02100103>  - Goblin Diddy"
28,"Summon forth Aithon, the legendary steed favored of the primal Ifrit. Its breath is said to be as hot as the seventh hell.","Legend states that the Lord of the Inferno, Ifrit, forged this magicked steed from a nightmare offered by the Amalj'aa in sacrifice.","Nay is but a hoofbeat<hex:02100103>away from neigh!<hex:02100103>  - Uma Bugyo"
29,"Summon forth Xanthos, the legendary steed favored of the primal Garuda. At full gallop, it is said to be the very wind itself.","Legend states that the Lady of the Vortex, Garuda, created this magicked steed from a nightmare offered by the Ixal in sacrifice.","Nay is but a hoofbeat<hex:02100103>away from neigh!<hex:02100103>  - Uma Bugyo"
30,"Summon forth Gullfaxi, the legendary steed favored of the primal Titan. Its powerful legs set off tremors that can be felt from malms away.","Legend states that the Lord of Crags, Titan, wrought this magicked steed from a nightmare offered by the kobolds in sacrifice.","Nay is but a hoofbeat<hex:02100103>away from neigh!<hex:02100103>  - Uma Bugyo"
31,"Summon forth Enbarr, the legendary steed favored of the primal Leviathan. It is said to have been born of the surging waves.","Legend states that the Lord of the Whorl, Leviathan, birthed this magicked steed from a nightmare offered by the Sahagin in sacrifice.","Nay is but a hoofbeat<hex:02100103>away from neigh!<hex:02100103>  - Uma Bugyo"
