key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,Command,ShortCommand,Description,Alias,ShortAlias,Param,
offset,26,27,28,29,30,12,16,0,4,8,24,20
int32,byte,byte,sbyte,sbyte,sbyte,str,str,str,str,str,TextCommandParam,uint32
0,0,0,0,0,0,"","","","","",0,0
1,1,0,0,0,0,"/record","","USAGE:<hex:02100103>　/record<hex:02100103><hex:02100103>→Opens and closes the Duty Recorder interface.","/record","",32,0
2,2,1,0,0,0,"/recordready","","USAGE:<hex:02100103>　/recordready [subcommand]<hex:02100103><hex:02100103>→Opens and closes the Duty Recorder interface.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>[countdowntime]<hex:0249020103><hex:0248020103><hex:02100103>　　Initiate a record ready check<hex:02100103>　　to begin recording a duty.<hex:02100103>　　When all party members<hex:02100103>　　consent to the recording,<hex:02100103>　　a countdown will start at<hex:02100103>　　the specified time.<hex:02100103>　　Subsequent uses of this<hex:02100103>　　command during the same<hex:02100103>　　duty will function as both a<hex:02100103>　　ready check and countdown.<hex:02100103><hex:02100103>Opens the Duty Recorder interface when no subcommand is specified.","/recordready","",0,0
3,1,0,0,0,0,"/pvpteamcmd","","USAGE:<hex:02100103>　/pvpteamcmd<hex:02100103><hex:02100103>→Opens and closes the PvP team menu.","","",0,0
4,1,0,0,0,0,"/saddlebag","","USAGE:<hex:02100103>　/saddlebag<hex:02100103><hex:02100103>→Opens and closes your chocobo saddlebag.","/saddlebag","",0,0
5,1,0,0,0,0,"/magiaright","","USAGE:<hex:02100103>　/magiaright<hex:02100103><hex:02100103>→Spins your magia board clockwise.","","",0,0
6,1,0,0,0,0,"/magialeft","","USAGE:<hex:02100103>　/magialeft<hex:02100103><hex:02100103>→Spins your magia board counterclockwise.","","",0,0
7,1,0,0,0,0,"/cwlinkshellcmd","/cwlcmd","ALIASES:<hex:02100103>　/cwlinkshellcmd, /cwlcmd<hex:02100103>USAGE:<hex:02100103>　/cwlinkshellcmd<hex:02100103><hex:02100103>→Opens and closes the Cross-world Linkshell window.","/cwlinkshellcmd","/cwlcmd",0,0
8,3,1,17,0,0,"/quickchat","/qchat","ALIASES:<hex:02100103>　/quickchat, /qchat<hex:02100103>USAGE:<hex:02100103>　/quickchat [quick chat message]<hex:02100103><hex:02100103>→Sends a Quick Chat message. Can only be used during Crystalline Conflict.<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/quickchat Charge <t><hex:02100103>　(Sends the Quick Chat message<hex:02100103>　""Charge"" using a specified<hex:02100103>　target.)","/quickchat","/qchat",1021,0
9,4,3,2,18,2,"/bluespellbook","","USAGE:<hex:02100103>　/bluespellbook [subcommand]<hex:02100103><hex:02100103>→Open and register active actions in the Blue Magic Spellbook.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>set ""blue mage action"" on<hex:0249020103><hex:0248020103><hex:02100103>　　Adds the specified blue<hex:02100103>　　mage action to the list<hex:02100103>　　of active actions in the<hex:02100103>　　current set.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03> set ""blue mage action"" off<hex:0249020103><hex:0248020103><hex:02100103>　　Removes the specified blue<hex:02100103>　　mage action from the list of<hex:02100103>　　active actions in the current<hex:02100103>　　set.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>preset [active set 1-5]<hex:0249020103><hex:0248020103><hex:02100103>　　Load the specified set of<hex:02100103>　　active actions.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>clear<hex:0249020103><hex:0248020103><hex:02100103>　　Remove all active actions<hex:02100103>　　from the current active<hex:02100103>　　action set.<hex:02100103><hex:02100103>Opens the Blue Magic Spellbook when no subcommand is specified.<hex:02100103><hex:02100103>>>Examples:<hex:02100103>　/bluespellbook set “Water Cannon”<hex:02100103>　(Sets the blue mage action<hex:02100103>　Water Cannon as an active<hex:02100103>　action in the current set.<hex:02100103><hex:02100103>　/bluespellbook preset 2<hex:02100103>　(Loads active set 2.)","","",36,0
10,2,1,2,0,0,"/magiaattack","","USAGE:<hex:02100103>　/magiaattack [placeholder]<hex:02100103><hex:02100103>→Spin the magia board to match the elemental weakness of the specified target. If no target is specified, matches based on current target.<hex:02100103><hex:02100103>>>Common Placeholders:<hex:02100103>　<t>, <target>, <1>-<8><hex:02100103><hex:02100103>A full list of placeholders can be found on the Lodestone Play Guide.","","",0,0
11,2,1,2,0,0,"/magiadefense","","USAGE:<hex:02100103>　/magiadefense [placeholder]<hex:02100103><hex:02100103>→Spin the magia board to match the elemental affinity of the specified target. If no target is specified, matches based on current target.<hex:02100103><hex:02100103>>>Common Placeholders:<hex:02100103>　<t>, <target>, <1>-<8><hex:02100103><hex:02100103>A full list of placeholders can be found on the Lodestone Play Guide.","","",0,0
12,2,1,2,0,0,"/magiaauto","","USAGE:<hex:02100103>　/magiaauto [subcommand]<hex:02100103><hex:02100103>→Set the magia board to automatically spin based on your current target.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>attack (atk)<hex:0249020103><hex:0248020103><hex:02100103>　　Automatically spin the magia<hex:02100103>　　board to match the elemental<hex:02100103>　　weakness of current target.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>defense (def)<hex:0249020103><hex:0248020103><hex:02100103>　　Automatically spin the magia<hex:02100103>　　board to match the elemental<hex:02100103>　　affinity of current target.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>off <hex:0249020103><hex:0248020103><hex:02100103>　　Disable automatic spinning.<hex:02100103><hex:02100103>Toggle between attack, defense, and off when no subcommand is specified.","","",0,0
13,1,0,0,0,0,"/cwlinkshell1","/cwl1","ALIASES:<hex:02100103>　/cwlinkshell1, /cwl1<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell1 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 1, regardless of their location. Typing /cwlinkshell1 or /cwl1 without a message switches the default chat mode to [Cross-world Linkshell 1].","","",1021,0
14,1,0,0,0,0,"/cwlinkshell2","/cwl2","ALIASES:<hex:02100103>　/cwlinkshell2, /cwl2<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell2 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 2, regardless of their location. Typing /cwlinkshell2 or /cwl2 without a message switches the default chat mode to [Cross-world Linkshell 2].","","",1021,0
15,1,0,0,0,0,"/cwlinkshell3","/cwl3","ALIASES:<hex:02100103>　/cwlinkshell3, /cwl3<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell3 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 3, regardless of their location. Typing /cwlinkshell3 or /cwl3 without a message switches the default chat mode to [Cross-world Linkshell 3].","","",1021,0
16,1,0,0,0,0,"/cwlinkshell4","/cwl4","ALIASES:<hex:02100103>　/cwlinkshell4, /cwl4<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell4 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 4, regardless of their location. Typing /cwlinkshell4 or /cwl4 without a message switches the default chat mode to [Cross-world Linkshell 4].","","",1021,0
17,1,0,0,0,0,"/cwlinkshell5","/cwl5","ALIASES:<hex:02100103>　/cwlinkshell5, /cwl5<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell5 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 5, regardless of their location. Typing /cwlinkshell5 or /cwl5 without a message switches the default chat mode to [Cross-world Linkshell 5].","","",1021,0
18,1,0,0,0,0,"/cwlinkshell6","/cwl6","ALIASES:<hex:02100103>　/cwlinkshell6, /cwl6<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell6 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 6, regardless of their location. Typing /cwlinkshell6 or /cwl6 without a message switches the default chat mode to [Cross-world Linkshell 6].","","",1021,0
19,1,0,0,0,0,"/cwlinkshell7","/cwl7","ALIASES:<hex:02100103>　/cwlinkshell7, /cwl7<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell7 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 7, regardless of their location. Typing /cwlinkshell7 or /cwl7 without a message switches the default chat mode to [Cross-world Linkshell 7].","","",1021,0
20,1,0,0,0,0,"/cwlinkshell8","/cwl8","ALIASES:<hex:02100103>　/cwlinkshell8, /cwl8<hex:02100103>USAGE:<hex:02100103>　/cwlinkshell8 [message]<hex:02100103><hex:02100103>→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 8, regardless of their location. Typing /cwlinkshell8 or /cwl8 without a message switches the default chat mode to [Cross-world Linkshell 8].","","",1021,0
21,2,0,0,0,0,"/graphicpresets","/gpresets","ALIASES:<hex:02100103>　/graphicpresets, /gpresets<hex:02100103>USAGE:<hex:02100103>　/graphicpresets [preset<hex:02100103>　number]<hex:02100103>→Load one of several preset graphics configuration settings.<hex:02100103><hex:02100103>>>Preset Configurations:<hex:02100103><hex:0208F201D5E4E94F04FFF0E4>　　1: Standard (Mac)<hex:02100103>　　2: Middle  (Mac)<hex:02100103>　　3: High (Mac)<hex:02100103>　　4: Extra-High (Mac)<hex:02100103>　　5: Maximum (Mac)<hex:02100103><hex:02100103>>>Example:<hex:02100103>　　/graphicpresets 2<hex:02100103>　　=Sets graphics settings to<hex:02100103> 　　preset 2.<hex:FFF0E7>　　1: Standard (Laptop)<hex:02100103>　　2: Standard (Desktop)<hex:02100103>　　3: High (Laptop)<hex:02100103>　　4: High (Desktop)<hex:02100103>　　5: Maximum<hex:02100103><hex:02100103>>>Example:<hex:02100103>　　/graphicpresets 2<hex:02100103>　　(Sets graphics settings to<hex:02100103>　　preset 2.)<hex:03>","","",993,0
22,1,0,0,0,0,"/fellowship","/fs","ALIASES:<hex:02100103>　/fellowship, /fs<hex:02100103>USAGE:<hex:02100103>　/fellowship<hex:02100103><hex:02100103>→Opens and closes the Fellowship interface.","","",32,0
23,1,0,0,0,0,"/fellowshipfinder","/fsfinder","ALIASES:<hex:02100103>　/fellowshipfinder, /fsfinder<hex:02100103>USAGE:<hex:02100103>　/fellowshipfinder<hex:02100103><hex:02100103>→Opens and closes the Fellowship Finder interface.","","",32,0
24,1,0,0,0,0,"/collection","/coll","ALIASES:<hex:02100103>　/collection, /coll<hex:02100103>USAGE:<hex:02100103>　/collection<hex:02100103><hex:02100103>→Opens and closes the Collection interface.","","",32,0
25,1,0,0,0,0,"/newgame+","/ng+","ALIASES:<hex:02100103>　/newgame+, /ng+<hex:02100103>USAGE:<hex:02100103>　/newgame+<hex:02100103><hex:02100103>→Opens the New Game+ interface.","","",32,0
