key,0,1
#,Image,Description
offset,4,0
int32,Image,str
0,0,""
1,86801,"<hex:0248020803><hex:0249020403>The rules of engagement on the Bozjan southern front are different than what you will have encountered before. The following pages contain a detailed explanation of what you may expect on the battlefield.<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:0248020F03>Read and understand them well if you would gain the upper hand over the Empire's IVth Legion.<hex:0248020103>"
2,86801,"<hex:0248020803><hex:0249020403>■Level Sync<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Though it is possible to join the Bozjan southern front beginning at level 71, all players will be synced to level 80 while in duty. Item level will also be synced accordingly.<hex:02100103><hex:02100103><hex:0248020F03>* All job actions unlocked through level 80 will also be available while in duty.<hex:0248020103>"
3,86802,"<hex:0248020803><hex:0249020403>■Resistance Rank<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>All players are subject to a separate leveling system while at the front, indicated by their “Resistance rank.” Performing admirably in large-scale battles such as skirmishes and critical engagements will increase your “mettle”─akin to experience points.<hex:02100103><hex:02100103><hex:0248020F03>* Simply defeating imperial troops and beasts is not enough to prove your mettle─you must participate in successful military operations.<hex:0248020103>"
4,86802,"If you demonstrate sufficient mettle upon reporting to the Resistance commander, your Resistance rank will climb. Those of higher rank will gain access to more areas of the front, as well as additional quests.<hex:02100103><hex:02100103><hex:0248020F03>* Your Resistance rank will not increase unless authorized by the commander, so don't forget to report for inspection!<hex:0248020103>"
5,86802,"<hex:0248020803><hex:0249020403>■Job Leveling<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Upon successful completion of a military operation, you will gain regular experience points in addition to mettle. This experience will be applied to your job level as normal, so it is recommended that you consider using a job that has not yet reached level 80 to take advantage of experience point gains."
6,86803,"<hex:0248020803><hex:0249020403>■But Wait...<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>More information is available from Sjeros in Gangos and your Resistance comrades at the southern front, so don't hesitate to converse with them!"
