key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,ActionTimeline{Pose}[0],ActionTimeline{Pose}[1],ActionTimeline{Pose}[2],,,,,,,,,,,,,Text[0],Text[1],Text[2]
offset,36,40,4,12,20,0,8,16,5,13,21,2,10,18,6,14,22,7,15,23,24,28,32
int32,uint32,byte,byte,byte,byte,ActionTimeline,ActionTimeline,ActionTimeline,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bit&01,bit&01,bit&01,str,str,str
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"強調トークシェイプで会話モーション","ドキュメントトークシェイプでビヘイビア演説ループ","不気味トークシェイプでビヘイビア立ち怒り会話ループ"
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"ほげ","ふー","ばー"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"あー、食った食った！ ","この宿の飯は最高に旨いな！","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス<hex:02100103>(アイテム渡し)","「ビヘイビアリアクション挨拶」へ推移します。","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス<hex:02100103>(アイテム受取)","「ビヘイビアリアクション考える」へ推移します。","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス<hex:02100103>(アイテム会話)","「ビヘイビアリアクション怒り」へ推移します。","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"基本立ちと立ち専用リアクションテス<hex:02100103>基本地面座り→基本立ち→立ち専用リアクション","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"基本立ちと立ち専用リアクションテス<hex:02100103>派手立ち→基本立ち→立ち専用リアクション","0","0"
589833,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"ここは、森と精霊に認められし神聖なる都市グリダニア。<hex:02100103>大いなる自然に感謝し、慎ましく振る舞え。","おす！","テストをします"
589834,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"基本立ちと立ち専用リアクションテス<hex:02100103>固有→基本立ち→立ち専用リアクション","0","0"
589835,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"空が見えるようになってる……！ すごい！","0","0"
589836,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"見ての通り、私は詩人です。","どうです？ 一曲？","0"
589837,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"俺はただひたすらに、<hex:02100103>クエストを発行するだけのENPCだ。","0","0"
589838,0,1,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,False,False,False,"改ページテストをします。１ページ。","２ページ。","３ページ。"
589839,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"改行テストをします。<hex:02100103>改行完了しました。","0","0"
589840,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"……おい、知ってるか？<hex:02100103>目黒という地には、<hex:02100103>とてつもなくウマい肉を食わせる店があるそうだ。","0","0"
589841,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"デフォルトトークテストですよ。","0","0"
589842,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"デフォルトトークテストですわ！","0","0"
589843,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"デフォルトトークでおじゃる。","0","0"
589844,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"悪いけど、取り込み中でね。<hex:02100103>しばらくそっちで大人しく待っててくれる？","……ん、あんた、見ない顔だね。<hex:02100103>都市に来たばかりだったら、今のうちに<hex:02100103>カーラインカフェで登録を済ませてしまいなさい。","0"
589845,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"貴様のすべきことは、<hex:02100103>冒険者ギルド「カーラインカフェ」に向かい<hex:02100103>マスターの「ミューヌ」に声をかけることだ。","冒険者として森都グリダニアの門をくぐった以上、<hex:02100103>我ら鬼哭隊の指示に背くことは許さん。<hex:02100103>さあ、さっさと行け。","0"
589846,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"また、「冒険者」かい。<hex:02100103>グリダニアにも随分とよそ者が増えてきたもんだな……。","「冒険者」の手助けはありがたいが、<hex:02100103>見なれん顔がウロウロするのは、落ち着かんもんだよ。","0"
589847,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"ここは、森と精霊に認められし神聖なる都市グリダニア。<hex:02100103>大いなる自然に感謝し、慎ましく振る舞え。","0","0"
589848,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"ここは、森と精霊に認められし神聖なる都市グリダニア。","森の外からの訪問者よ。<hex:02100103>不要な騒ぎを起こし、民を脅かすことのないように。","0"
589849,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"グリダニアの奴らは、<hex:02100103>目の前にいる俺たち「冒険者」より、<hex:02100103>姿の見えない「精霊」とやらを信頼してるみたいだな。","0","0"
589850,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"「精霊」は、怒らせれば姿を現すらしいぜ？<hex:02100103>是非とも、お目にかかってみたいもんだ。","0","0"
589851,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"ようこそ、「カーラインカフェ」へ。<hex:02100103>ここは森都グリダニアに集う冒険者の憩いの場。","第七霊災で傷ついた森を元の姿に戻すため、<hex:02100103>グリダニアは君たち冒険者を必要としている。<hex:02100103>どうか僕らの助けになってほしい。","余所者を良く思わない者もいるが、<hex:02100103>彼らも、少しずつ変わろうとしている……。<hex:02100103>君たちが良い風をもたらしてくれること、期待しているよ。"
589852,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"未使用","0","0"
589853,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"未使用","0","0"
589854,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"未使用","0","0"
589855,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"ここは、「双蛇党」統合司令部。<hex:02100103>「双蛇党」とは、グリダニアの軍事、経済、<hex:02100103>産業を束ねる組織「グランドカンパニー」の総称だ。","0","0"
589856,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"未使用","0","0"
