key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,OutputType,,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text,,,
offset,12,26,26,26,22,23,16,4,8,26,26,24,25,0,20
int32,uint32,bit&01,bit&02,bit&04,byte,byte,uint32,single,single,bit&08,bit&10,byte,byte,str,uint16
0,0,False,False,False,1,0,0,0,1,False,False,1,25,"0",0
1,0,False,False,False,3,0,0,0,1,False,False,1,25,"NpcYellテストテキスト[1]",0
2,0,False,False,False,3,0,0,0,5,False,False,1,25,"おーい、誰か手伝ってくれ！",0
3,0,False,False,False,3,0,0,0,5,False,False,1,25,"気をつけろ！　魔物が来るぞ！",0
4,0,False,False,False,3,0,0,0,5,False,False,1,25,"インプが来るぞ！　逃がすな！",0
5,0,False,False,False,3,0,0,0,5,False,False,1,25,"くそっ、数が多すぎる！",0
6,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物がもうそこまで来てるわ！",0
7,0,False,False,False,3,0,0,0,5,False,False,1,25,"シルフ族が来るぞ！　警戒を！",0
8,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物が増えてきた、注意しろ！",0
9,0,False,False,False,3,0,0,0,5,False,False,1,25,"ここの治安は我々が守る！",0
10,0,False,False,False,3,0,0,0,5,False,False,1,25,"賊どもを調子に乗らせるな！",0
11,0,False,False,False,3,0,0,0,5,False,False,1,25,"オポオポが豆を狙ってるぞ！",0
12,0,False,False,False,3,0,0,0,5,False,False,1,25,"イクサル族が攻めてきたぞ！",0
13,0,False,False,False,3,0,0,0,5,False,False,1,25,"あれは……ジズか！？",0
14,0,False,False,False,3,0,0,0,5,False,False,1,25,"またきやがったか！",0
15,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物が騒がしい、気をつけろ",0
16,0,False,False,False,3,0,0,0,5,False,False,1,25,"クッ……アレを使うしか……！",0
17,0,False,False,False,3,0,0,0,5,False,False,1,25,"殺れっ！　シュレッダー！！",0
18,0,False,False,False,3,0,0,0,5,False,False,1,25,"誰か我々に協力してくれぬか？",0
19,0,False,False,False,3,0,0,0,5,False,False,1,25,"誰か！　私を手伝え！",0
20,0,False,False,False,3,0,0,0,5,False,False,1,25,"おお、ゴーレムがこんなに！",0
21,0,False,False,False,3,0,0,0,5,False,False,1,25,"インプめ、また現れたな！",0
22,0,False,False,False,3,0,0,0,5,False,False,1,25,"また花が食べられてる……",0
23,0,False,False,False,3,0,0,0,5,False,False,1,25,"イクサル族が来るぞ！　迎撃！",0
24,0,False,False,False,3,0,0,0,5,False,False,1,25,"だ、誰か！　手を貸してくれ！",0
25,0,False,False,False,3,0,0,0,5,False,False,1,25,"では、いきます！",0
26,0,False,False,False,2,0,0,0,5,False,False,1,25,"うおおー！",0
27,0,False,False,False,2,0,0,0,5,False,False,1,25,"このっ！",0
28,0,False,False,False,2,0,0,0,5,False,False,1,25,"倒れろっ！",0
29,0,False,False,False,2,0,0,0,5,False,False,1,25,"くらえっ！",0
30,0,False,False,False,2,0,0,0,5,False,False,1,25,"まだまだ！",0
31,0,False,False,False,2,0,0,0,5,False,False,1,25,"こしゃくな！",0
32,0,False,False,False,2,0,0,0,5,False,False,1,25,"どうだ！",0
33,0,False,False,False,2,0,0,0,5,False,False,1,25,"これくらいっ！",0
34,0,False,False,False,2,0,0,0,5,False,False,1,25,"ヒャッハーー！！",0
35,0,False,False,False,2,0,0,0,5,False,False,1,25,"おらおらおらー！！",0
36,0,False,False,False,2,0,0,0,5,False,False,1,25,"どけやコラァ！",0
37,0,False,False,False,2,0,0,0,5,False,False,1,25,"ブッ潰してやる！！",0
38,0,False,False,False,2,0,0,0,5,False,False,1,25,"遊んであげようか",0
39,0,False,False,False,2,0,0,0,5,False,False,1,25,"相手をしてほしいのかい？",0
40,0,False,False,False,2,0,0,0,3,False,False,1,25,"ひざまずけ",0
41,0,False,False,False,2,0,0,0,3,False,False,1,25,"もっといい声を聞かせておくれ",0
42,0,False,False,False,2,0,0,0,3,False,False,1,25,"遠慮するなよ",0
43,0,False,False,False,2,0,0,0,5,False,False,1,25,"調子に乗るな……！",0
44,0,False,False,False,2,0,0,0,5,False,False,1,25,"刺激的じゃないか！",0
