key,0,1,2,3,4
#,,,,,
offset,12,13,8,0,4
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"まもり効果アップ","<hex:024804F201F403><hex:024904F201F503>「まもり」<hex:0249020103><hex:0248020103>の効果量を90%に上昇させる。"
2,1,5,82202,"いのり効果アップ","<hex:024804F201F403><hex:024904F201F503>「いのり」<hex:0249020103><hex:0248020103>の回復力を5000に上昇させる。"
3,2,3,82203,"あばれる効果アップ","自身に<hex:024804F201F403><hex:024904F201F503>「肉斬骨断」<hex:0249020103><hex:0248020103>が付与される。<hex:02100103><hex:024804F201F403><hex:024904F201F503>「肉斬骨断」<hex:0249020103><hex:0248020103>効果中に受けたダメージ量によって、いちげきの威力が増加する。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>15秒"
4,3,4,82204,"けり効果アップ","<hex:024804F201F403><hex:024904F201F503>「けり」<hex:0249020103><hex:0248020103>の効果量を7%に上昇させる。"
5,3,6,82205,"けり効果アップII","<hex:024804F201F403><hex:024904F201F503>「けり」<hex:0249020103><hex:0248020103>の効果量を9%に上昇させる。"
6,4,3,82206,"ねらう効果アップ","<hex:024804F201F403><hex:024904F201F503>「ねらう」<hex:0249020103><hex:0248020103>の効果量が30%に上昇し、さらに攻撃が必中になる。"
7,4,5,82207,"ねらう効果アップII","<hex:024804F201F403><hex:024904F201F503>「ねらう」<hex:0249020103><hex:0248020103>の効果量が50%に上昇し、さらに攻撃が必中になる。"
8,5,5,82208,"いあいぬき効果アップ","いあいぬきの威力を500に上昇させる。さらに即死の確率を10%に上昇させる。"
9,6,2,82209,"うた効果アップ","うたの効果量をサポート吟遊詩人のサポートジョブレベルに応じて上昇させる。"
10,12,6,82212,"かぎあけ","ダンジョン内にある鍵のかかった扉を開けることができるようになる。"
11,9,5,82211,"ほうげき効果アップ","ほうげきの実行時、5%の確率で一部の対象を即死させる。"
12,7,5,82210,"ベル効果アップ","<hex:024804F201F403><hex:024904F201F503>「たたかいのベル」<hex:0249020103><hex:0248020103>の効果量を5%に上昇させる。<hex:02100103>さらに<hex:024804F201F403><hex:024904F201F503>「いこいのベル」<hex:0249020103><hex:0248020103>の回復力を3000に上昇させる。"
13,0,0,-1,"",""
14,0,0,-1,"",""
15,0,0,-1,"",""
