key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_VOICEMAN_07001_000010_GULOOLJAJA","よう。<hex:02100103>急に呼び出して悪いな。"
1,"TEXT_VOICEMAN_07001_000020_GULOOLJAJA","王都に戻ってると聞いたもんで、<hex:02100103>この機会を逃すわけにはいかねぇと思ってよ。"
2,"TEXT_VOICEMAN_07001_000030_GULOOLJAJA","わしはこれでも、王位に就いてから今日まで、<hex:02100103>戦いと名のつくもんに負けたことがなくてな。<hex:02100103>武の頭だけに「武王」なんて呼ばれてもいる。"
3,"TEXT_VOICEMAN_07001_000040_GULOOLJAJA","外つ国の槍使い……エスティニアンはなかなかだったが、<hex:02100103>勝敗をつける前に都を離れちまった。<hex:02100103>いい加減、強者との戦いに飢えてたところでな！"
4,"TEXT_VOICEMAN_07001_000050_GULOOLJAJA","船乗りたちの噂によれば、<hex:02100103>お前、外つ国じゃ高名な冒険者らしいじゃねぇか。"
5,"TEXT_VOICEMAN_07001_000060_GULOOLJAJA","だが、向こうでどれだけの戦功を挙げてきたとしても……"
6,"TEXT_VOICEMAN_07001_000070_GULOOLJAJA","その武勇、わしのもとまで届くかねぇ？"
7,"TEXT_VOICEMAN_07001_Q1_000_001_NONE_VOICE","何と言う？"
8,"TEXT_VOICEMAN_07001_A1_000_001_NONE_VOICE","なら、直接届けよう"
9,"TEXT_VOICEMAN_07001_A1_000_002_NONE_VOICE","お手柔らかに"
10,"TEXT_VOICEMAN_07001_A1_000_003_NONE_VOICE","気が進まない……"
11,"TEXT_VOICEMAN_07001_000080_GULOOLJAJA","グハハハハハ！"
12,"TEXT_VOICEMAN_07001_000090_GULOOLJAJA","いい面構えになったじゃねぇか！<hex:02100103>上等だ、届けてみせよ！"
13,"TEXT_VOICEMAN_07001_000100_GULOOLJAJA","フッ"
14,"TEXT_VOICEMAN_07001_000110_GULOOLJAJA","このわしを前にしても物怖じしない、その胆力……。<hex:02100103>やはり、お前は本物のようだな！"
15,"TEXT_VOICEMAN_07001_000120_GULOOLJAJA","フッ"
16,"TEXT_VOICEMAN_07001_000130_GULOOLJAJA","このわしでは不足とでも？<hex:02100103>ならば、我が武を以て本気を出させてやろう！"
17,"TEXT_VOICEMAN_07001_000140_GULOOLJAJA","ハッ、滾ってきた！<hex:02100103>なぁに安心しろ、殺しはせん！<hex:02100103>だが、手心を加えるつもりもない！"
18,"TEXT_VOICEMAN_07001_000150_GULOOLJAJA","戦いをとおして、お前の力を測らせてもらうぞ！"
19,"TEXT_VOICEMAN_07001_000160_GULOOLJAJA","……わしの本気の攻めを受け切った奴は、お前が初めてよ。"
20,"TEXT_VOICEMAN_07001_000170_GULOOLJAJA","理の頭が眠っているとはいえ、<hex:02100103>一介の冒険者ぐらい叩き潰してやるつもりだったんだが……。"
21,"TEXT_VOICEMAN_07001_000180_GULOOLJAJA","エスティニアンが言ったとおり、<hex:02100103>お前はとんでもない奴だな！"
22,"TEXT_VOICEMAN_07001_000190_GULOOLJAJA","グハハハハハ！"
23,"TEXT_VOICEMAN_07001_000200_GULOOLJAJA","いやぁ、急にふっかけちまって悪かったな。<hex:02100103>強者との戦いに飢えていたと言ったが……<hex:02100103>別の理由もあってよ。"
24,"TEXT_VOICEMAN_07001_000210_GULOOLJAJA","お前が大切な娘を託すに相応しい人物か、<hex:02100103>どうしても直接、見極めたくなったってのが本音でな。"
25,"TEXT_VOICEMAN_07001_000220_GULOOLJAJA","あいつは武の頭であるわしに似たところがあってよ。<hex:02100103>熱くなりすぎて、危機に陥ることもあるはずだ。"
26,"TEXT_VOICEMAN_07001_000230_GULOOLJAJA","だが、仲間を守ることに長けたお前の力があれば、<hex:02100103>ラマチの盾となり、支えることもできるだろう。"
27,"TEXT_VOICEMAN_07001_000240_GULOOLJAJA","だが、敵を素早く討ち倒すことに長けたお前なら、<hex:02100103>ラマチの脅威を払い、支えることもできるだろう。"
28,"TEXT_VOICEMAN_07001_000250_GULOOLJAJA","だが、仲間を癒やすことに長けたお前の力があれば、<hex:02100103>ラマチも安心して背中を預け戦えるだろう。"
29,"TEXT_VOICEMAN_07001_000260_GULOOLJAJA","ここから先は、トライヨラの王としてじゃなくてよ、<hex:02100103>ラマチのオヤジとして話がしたい。<hex:02100103>悪いが、付き合ってくれるか？"
30,"TEXT_VOICEMAN_07001_000270_GULOOLJAJA","フッ、礼を言うぜ。"
31,"TEXT_VOICEMAN_07001_000280_GULOOLJAJA","さっそくだがな、<hex:02100103>これまで一緒に旅をしてきて、ラマチをどう見る？"
32,"TEXT_VOICEMAN_07001_000290_GULOOLJAJA","王女として、依頼主として、<hex:02100103>あるいはひとりの人間としてでも構わねぇ。<hex:02100103>お前がラマチを見てどう思ったか、聞かせてくれ。"
33,"TEXT_VOICEMAN_07001_Q2_000_001_NONE_VOICE","何と言う？"
34,"TEXT_VOICEMAN_07001_A2_000_001_NONE_VOICE","未熟だが将来性はある"
35,"TEXT_VOICEMAN_07001_A2_000_002_NONE_VOICE","王の器ではなさそうだ"
36,"TEXT_VOICEMAN_07001_000300_GULOOLJAJA","フッ"
37,"TEXT_VOICEMAN_07001_000310_GULOOLJAJA","やはり、わかるか。<hex:02100103>そのとおり、あいつはまだ、王位に就くには未熟だ。"
38,"TEXT_VOICEMAN_07001_000320_GULOOLJAJA","グハハハハハ！"
39,"TEXT_VOICEMAN_07001_000330_GULOOLJAJA","はっきり言いやがる。<hex:02100103>そのとおり、あいつはまだ、王位に就くには未熟だ。"
40,"TEXT_VOICEMAN_07001_000340_GULOOLJAJA","この国に生きる部族たちが持つ歴史も、文化も、信仰も知らん。<hex:02100103>あいつが知っているのは、この王都から見える景色だけだ。"
41,"TEXT_VOICEMAN_07001_000350_GULOOLJAJA","だが、それはラマチにかぎった話じゃない。<hex:02100103>ここまで継承の儀を進んできたなら、もう気づいてるだろう……"
42,"TEXT_VOICEMAN_07001_000360_GULOOLJAJA","継承の儀を争う4人全員が、<hex:02100103>継承候補者として、問題を抱えていることに。"
43,"TEXT_VOICEMAN_07001_000370_GULOOLJAJA","そもそも継承の儀とは、<hex:02100103>王に相応しい器を「選ぶ」ためのものじゃねぇ。<hex:02100103>王として相応しい器へと「磨く」ための儀式なのだ。"
44,"TEXT_VOICEMAN_07001_000380_GULOOLJAJA","故に、継承の儀をとおして成長できなければそれまで。<hex:02100103>誰にも王位は譲らねぇ。"
45,"TEXT_VOICEMAN_07001_000390_GULOOLJAJA","親としちゃ、我が子らがそれに相応しい人物となってくれるよう、<hex:02100103>願っちゃいるがな……。"
46,"TEXT_VOICEMAN_07001_000400_GULOOLJAJA","とんだ茶番に付き合わせて悪い。<hex:02100103>お前たちのような新しい風が、<hex:02100103>あいつらに変化を促してくれるんじゃねぇかと期待してるんだ。"
47,"TEXT_VOICEMAN_07001_000410_GULOOLJAJA","特に、お前は冒険者として多くの土地を歩き、<hex:02100103>そこに生きる人々や文化を知り、愛し、愛されてきただろう。"
